instance,basename,family,tier,group,sha256,size_mb,rc2_status,rc2_final_cost,rc2_cost_lower_bound,rc2_solve_s,rc2_cap_s,rc2_completed,rc2_tier_reason,rc2_source,memetic_runs,memetic_configs,memetic_seeds,memetic_budget_s,memetic_threads,memetic_run_ids
data/unsat250_1000c/uuf250-072.cnf,uuf250-072.cnf,unsat250_1000c,T2a,uuf250_1000c,75032638cf1ee023cdb5d269c5aa0ae73840f9ab5c2b979f02d705066f1dea77,0.0153,optimal,1,1,63.1,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_72.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00061..t2m_00075
data/unsat_uuf_diff/uuf250-03.cnf,uuf250-03.cnf,unsat_uuf_diff,T2a,uuf_diff_unsat,d0d071d08eb19f59f8628271b315e74b33d44fd09ce7db38997d15cbff1a4943,0.0153,optimal,1,1,67.723,600.0,True,60.0<solve_s<=300.0,results/profile_uuf/uuf_diff_arr_task_34.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00316..t2m_00330
data/unsat250_1000c/uuf250-089.cnf,uuf250-089.cnf,unsat250_1000c,T2a,uuf250_1000c,bc9f60b116ebf952b540b74e86700df2884ca94bb2c92fbea86affacf26d0be9,0.0152,optimal,1,1,70.743,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_89.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00151..t2m_00165
data/unsat_uuf_diff/uuf250-05.cnf,uuf250-05.cnf,unsat_uuf_diff,T2a,uuf_diff_unsat,23280ae575ff9dc99c6476838ef631297ae2aa124836ecfe216934ce18caf46d,0.0153,optimal,1,1,75.776,600.0,True,60.0<solve_s<=300.0,results/profile_uuf/uuf_diff_arr_task_36.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00331..t2m_00345
data/unsat250_1000c/uuf250-079.cnf,uuf250-079.cnf,unsat250_1000c,T2a,uuf250_1000c,3341dc8594d9b89d84344bbbb301f705d769cd8663a141b1843661c40c816442,0.0153,optimal,1,1,81.058,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_79.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00091..t2m_00105
data/unsat250_1000c/uuf250-066.cnf,uuf250-066.cnf,unsat250_1000c,T2a,uuf250_1000c,0d27afc598084106b0fb25452062e7977c5a440217d6ef97c419375228b51a53,0.0152,optimal,1,1,106.544,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_66.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00016..t2m_00030
data/unsat250_1000c/uuf250-071.cnf,uuf250-071.cnf,unsat250_1000c,T2a,uuf250_1000c,a8e1a2b5de3efb350c976f08b3bb5abf83e9fb6dcee0396ae69ed97095b59371,0.0152,optimal,1,1,106.725,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_71.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00046..t2m_00060
data/unsat250_1000c/uuf250-081.cnf,uuf250-081.cnf,unsat250_1000c,T2a,uuf250_1000c,048beacb1c7909bb1b4499490238a91246e591dbb5f87e10105ec878b483e7fe,0.0153,optimal,1,1,110.62,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_81.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00121..t2m_00135
data/unsat_uuf_diff/uuf250-010.cnf,uuf250-010.cnf,unsat_uuf_diff,T2a,uuf_diff_unsat,2fc634c67eeffd8c257a98e6a53fbc1dc3c77285bcb824f1c5b370cf66b250b1,0.0152,optimal,1,1,121.311,600.0,True,60.0<solve_s<=300.0,results/profile_uuf/uuf_diff_arr_task_32.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00301..t2m_00315
data/unsat250_1000c/uuf250-093.cnf,uuf250-093.cnf,unsat250_1000c,T2a,uuf250_1000c,351e6dedf55a9d04d71c6906de94c2a90bf8b68bec82124db328726c159cd5ed,0.0153,optimal,1,1,127.973,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_93.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00181..t2m_00195
data/unsat250_1000c/uuf250-099.cnf,uuf250-099.cnf,unsat250_1000c,T2a,uuf250_1000c,d526dae82788dc92f073f2d7eec8dd59130d77851022f44c656c3bc5e940c9a4,0.0152,optimal,1,1,128.158,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_99.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00256..t2m_00270
data/unsat_uuf_diff/uuf200-02.cnf,uuf200-02.cnf,unsat_uuf_diff,T2a,uuf_diff_unsat,9afc5d58673193fcf63c6d14882de00520b0674021fd070acfd8cdb82df4f5a5,0.012,optimal,2,2,128.5,600.0,True,60.0<solve_s<=300.0,results/profile_uuf/uuf_diff_arr_task_23.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,2,t2m_00286..t2m_00300
data/unsat250_1000c/uuf250-094.cnf,uuf250-094.cnf,unsat250_1000c,T2a,uuf250_1000c,62f13ed69fd3ac1bf0c7fe6d3e18171a8031fb079f65aa92cf1ac94cd61e4dcc,0.0153,optimal,1,1,129.716,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_94.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00196..t2m_00210
data/unsat250_1000c/uuf250-070.cnf,uuf250-070.cnf,unsat250_1000c,T2a,uuf250_1000c,98d1b517742b12026eaffad191a5fa158fc65b0ea8026ad85191bf18e8dffc87,0.0152,optimal,1,1,145.584,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_70.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00031..t2m_00045
data/unsat250_1000c/uuf250-096.cnf,uuf250-096.cnf,unsat250_1000c,T2a,uuf250_1000c,6432c056f418c32e6862b8cbf1ae76aa4711af3a6ddb6fd91c3e5c65d9164f9d,0.0152,optimal,1,1,149.447,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_96.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00211..t2m_00225
data/unsat250_1000c/uuf250-090.cnf,uuf250-090.cnf,unsat250_1000c,T2a,uuf250_1000c,39294ff8fe5af2dd2c650aac69b467e7c6d0554258ef80ecdad81bf2a15bebc0,0.0153,optimal,1,1,151.173,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_90.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00166..t2m_00180
data/unsat_uuf_diff/uuf250-07.cnf,uuf250-07.cnf,unsat_uuf_diff,T2a,uuf_diff_unsat,b4a0bbcee59b06ae831feec6794d9f70ed3b332eabfdd6dd8b4260a1aabe4653,0.0153,optimal,1,1,154.694,600.0,True,60.0<solve_s<=300.0,results/profile_uuf/uuf_diff_arr_task_38.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00361..t2m_00375
data/unsat_uuf_diff/uuf250-06.cnf,uuf250-06.cnf,unsat_uuf_diff,T2a,uuf_diff_unsat,41d959bda26dbe2c924bccb2980722d0899b90efb22edcf20cac17f0ae3d06bb,0.0153,optimal,1,1,185.431,600.0,True,60.0<solve_s<=300.0,results/profile_uuf/uuf_diff_arr_task_37.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00346..t2m_00360
data/unsat250_1000c/uuf250-080.cnf,uuf250-080.cnf,unsat250_1000c,T2a,uuf250_1000c,dc52792b0b0c7a6c86dc182f6a2683a8644c8204b4d1cfaf583ef6d9baf2619d,0.0153,optimal,1,1,212.418,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_80.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00106..t2m_00120
data/unsat250_1000c/uuf250-0100.cnf,uuf250-0100.cnf,unsat250_1000c,T2a,uuf250_1000c,a0d4a608105c7419c1862cfed087f7767cb3f52d03bf16ac864deecec826a078,0.0153,optimal,1,1,219.129,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_100.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00001..t2m_00015
data/unsat250_1000c/uuf250-075.cnf,uuf250-075.cnf,unsat250_1000c,T2a,uuf250_1000c,bf064b5e87304724749bb221ce3a2f40f8d14234f39c9ae53eb50dd53f72f043,0.0152,optimal,1,1,269.613,900.0,True,60.0<solve_s<=300.0,results/profile_uuf250/uuf250_arr_task_75.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00076..t2m_00090
data/unsat_uuf_diff/uuf200-01.cnf,uuf200-01.cnf,unsat_uuf_diff,T2b,uuf_diff_unsat,09b7d9c77afe26dd9cc7b88ac5d30e90f38b13d3d2aff59cc813862bf6ecb3a4,0.012,optimal,2,2,307.403,600.0,True,300.0<solve_s<=600.0,results/profile_uuf/uuf_diff_arr_task_21.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,2,t2m_00271..t2m_00285
data/unsat250_1000c/uuf250-098.cnf,uuf250-098.cnf,unsat250_1000c,T2b,uuf250_1000c,0e3bddf3dcb41eeb64cd65a378807a511888d199faee222c2a8c64abcdcb4f92,0.0153,optimal,1,1,311.374,900.0,True,300.0<solve_s<=600.0,results/profile_uuf250/uuf250_arr_task_98.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00241..t2m_00255
data/unsat_uuf_diff/uuf250-09.cnf,uuf250-09.cnf,unsat_uuf_diff,T2b,uuf_diff_unsat,effa445fdefe1b667216e33b9702ac569d87d522f47c51b33c81462e2503218a,0.0152,optimal,1,1,383.872,600.0,True,300.0<solve_s<=600.0,results/profile_uuf/uuf_diff_arr_task_40.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00376..t2m_00390
data/unsat250_1000c/uuf250-087.cnf,uuf250-087.cnf,unsat250_1000c,T2b,uuf250_1000c,777fa955859e09183cf6ca629998a61f337b278001c2e032c3fda3f6feeecb42,0.0153,optimal,1,1,436.684,900.0,True,300.0<solve_s<=600.0,results/profile_uuf250/uuf250_arr_task_87.jsonl,15,memetic_base;memetic_pop150;memetic_deeppolish,1-5,900,1,t2m_00136..t2m_00150
