family,file,sha256,fmt,n_vars,n_clauses,n_vars_used,ratio,len_min,len_max,len_mean,len_hist,all_w1,size_kb
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-1.cnf,b8c87f09c321ac82207aa8c61aac3037b150fe459ec6d09a938881c570aa80dd,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.9
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-10.cnf,ab48a2a23fa74dd179e6c36ac0a563b963e3ddc55bb5064ada338e98d384280b,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-11.cnf,70b6f4e5bc5940ef71a90d673402996c997260e94d84d15054a8c5e2f590b22a,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-12.cnf,1f033965c107bcae86e23dbf2594a48fe88587d77d466b3465c06bb6f6a3edc9,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-13.cnf,f05f8a8eb3c1ed5acc7f9ac7ba9a81cca74bd7c2a11b76edd15d90abd7da2fb5,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-14.cnf,42ba4c1c1ea51aa6616212b81800db50a98801f6c5f3ee817232a74215398302,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-15.cnf,5add581d3063dacf53493ee5cb8dcae8baab2993cc9e31c8b19dd5ce544d35a3,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-16.cnf,54f82331a5cab4b7b302c89607d05ab8fb41a0d7ffc4f61eecd24577ad70a8dd,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-17.cnf,0b968f9d852904852988898e6f2eb733f303315221c65e7cd77a21f28490b8e2,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-18.cnf,6fedf01b270e5122b5386756696c00b8fd80b8a973067cf0e0a1e6f32f4bbc43,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-19.cnf,d7931f4039c99f5cf146f2eeb1b22ba954421fdb2c321f4a100b81f158151ade,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-2.cnf,08be2f92a43cc1d96d48206571639b6bdcddacc627705f6674eb8d0edcd4dabe,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-20.cnf,45f9fb1d896de0d34db3d397846389d4853b8998bcfa7efb8397f7da73d75b05,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.9
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-21.cnf,39aacdb9513381dfba9e09eb7c851121bf00f9a640e03b5c7d8a8cfc154010e7,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-22.cnf,29037d71f6ad5fe5f152fc37b18e997196841521e0d7c27e9a89aa7492ae2a73,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.9
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-23.cnf,89422ef771fc9318d2997fa160c8b11246050e97c2cf68fe695b0dd3eb2e1d18,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-24.cnf,5238699659bd154b8de904c4a5278af27c0c397f2c0cccc14745bb9b470bb528,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-25.cnf,356e174ba1e39483ddef6058b4852ce68e6605103218056c10a3cd81cf6e029c,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-26.cnf,5abbd44e25ff03b6bb70911f3509b9a346ea7c932b500f8189afd19c757cb133,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8
