pop_idx,instance,instance_sha256,batch,cell_id,family,k,n,alpha,m,gen_seed,oracle_cost,rc2_solve_s,rc2_tier,analysis_group,pysat_version
1,data/generated/calib_a/wksat_v100_k2_sr4.00_hr0.00_w1_uniform_s3.wcnf,1bf6431e65d0ee4118808652c665277d8a2a9ba66fb1c9706fb8f000be3356f8,calib_a,max2sat_n100_a4,max2sat,2,100,4.0,400,3,31,173.651,T2a,tier2,1.9.dev3
2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,max2sat,2,100,6.0,600,1,50,752.749,T3,upper_ext,1.9.dev3
3,data/generated/calib_a/wksat_v100_k3_sr5.00_hr0.00_w1_uniform_s2.wcnf,80fed4b8e5bf2b9cb4bae3bda9b6781d8cbf39cfd10c34c5e9b82725abfc4b06,calib_a,max3sat_n100_a5,max3sat,3,100,5.0,500,2,4,93.01,T2a,tier2,1.9.dev3
4,data/generated/calib_a/wksat_v150_k2_sr3.00_hr0.00_w1_uniform_s3.wcnf,896f8138027145c639c73e12b215c4e874a6b25d93e256c98f86f912ea9c021c,calib_a,max2sat_n150_a3,max2sat,2,150,3.0,450,3,23,65.08,T2a,tier2,1.9.dev3
5,data/generated/calib_a/wksat_v150_k2_sr3.00_hr0.00_w1_uniform_s4.wcnf,cac83f71adf8e1f3641733007c1c8bf7bb35bccb74fa388859adbb1769b5e4a1,calib_a,max2sat_n150_a3,max2sat,2,150,3.0,450,4,24,36.352,T1,lower_ext,1.9.dev3
6,data/generated/calib_a/wksat_v150_k3_sr5.00_hr0.00_w1_uniform_s3.wcnf,1bd61c544756086435e145f38cad51c8ca28898ff76478a941a19128c331dabb,calib_a,max3sat_n150_a5,max3sat,3,150,5.0,750,3,3,772.234,T3,upper_ext,1.9.dev3
7,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s1.wcnf,3747e40649ca8e3b7150045ad1f5295d385b05011a7a3be6c355ff93bf662bd9,calib_a,max3sat_n250_a4.26,max3sat,3,250,4.26,1065,1,1,50.766,T1,lower_ext,1.9.dev3
8,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s2.wcnf,a467213a83ad3e50c481e229ce1d133789b3d94a6110592f3080f72af3f16e11,calib_a,max3sat_n250_a4.26,max3sat,3,250,4.26,1065,2,1,281.412,T2a,tier2,1.9.dev3
9,data/generated/calib_a/wksat_v250_k3_sr4.26_hr0.00_w1_uniform_s4.wcnf,be4183b0bd4dbeab650cc5a709ddacfd03be88ce4f27182aa31521b4ca2b366a,calib_a,max3sat_n250_a4.26,max3sat,3,250,4.26,1065,4,1,387.757,T2b,tier2,1.9.dev3
10,data/generated/calib_a/wksat_v400_k2_sr2.00_hr0.00_w1_uniform_s1.wcnf,abb88ca9401ae98316aa7135c98d60f671c4cf91531bebb51152705438c4a229,calib_a,max2sat_n400_a2,max2sat,2,400,2.0,800,1,18,42.963,T1,lower_ext,1.9.dev3
