task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
1,m2f_p10ls2p5_001_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,1,data/generated/calib_a/wksat_v100_k2_sr4.00_hr0.00_w1_uniform_s3.wcnf,1bf6431e65d0ee4118808652c665277d8a2a9ba66fb1c9706fb8f000be3356f8,calib_a,max2sat_n100_a4,3,400,31,173.651,T2a,tier2
2,m2f_p10ls2p5_001_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,1,data/generated/calib_a/wksat_v100_k2_sr4.00_hr0.00_w1_uniform_s3.wcnf,1bf6431e65d0ee4118808652c665277d8a2a9ba66fb1c9706fb8f000be3356f8,calib_a,max2sat_n100_a4,3,400,31,173.651,T2a,tier2
3,m2f_p10ls2p5_001_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,1,data/generated/calib_a/wksat_v100_k2_sr4.00_hr0.00_w1_uniform_s3.wcnf,1bf6431e65d0ee4118808652c665277d8a2a9ba66fb1c9706fb8f000be3356f8,calib_a,max2sat_n100_a4,3,400,31,173.651,T2a,tier2
4,m2f_p10ls2p5_002_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
5,m2f_p10ls2p5_002_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
6,m2f_p10ls2p5_002_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
7,m2f_p10ls2p5_003_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,3,data/generated/calib_a/wksat_v100_k3_sr5.00_hr0.00_w1_uniform_s2.wcnf,80fed4b8e5bf2b9cb4bae3bda9b6781d8cbf39cfd10c34c5e9b82725abfc4b06,calib_a,max3sat_n100_a5,2,500,4,93.01,T2a,tier2
8,m2f_p10ls2p5_003_s2,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,,3,data/generated/calib_a/wksat_v100_k3_sr5.00_hr0.00_w1_uniform_s2.wcnf,80fed4b8e5bf2b9cb4bae3bda9b6781d8cbf39cfd10c34c5e9b82725abfc4b06,calib_a,max3sat_n100_a5,2,500,4,93.01,T2a,tier2
9,m2f_p10ls2p5_003_s3,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,,3,data/generated/calib_a/wksat_v100_k3_sr5.00_hr0.00_w1_uniform_s2.wcnf,80fed4b8e5bf2b9cb4bae3bda9b6781d8cbf39cfd10c34c5e9b82725abfc4b06,calib_a,max3sat_n100_a5,2,500,4,93.01,T2a,tier2
10,m2f_p10ls2p5_004_s1,full,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,,4,data/generated/calib_a/wksat_v150_k2_sr3.00_hr0.00_w1_uniform_s3.wcnf,896f8138027145c639c73e12b215c4e874a6b25d93e256c98f86f912ea9c021c,calib_a,max2sat_n150_a3,3,450,23,65.08,T2a,tier2
