task_id,job_id,stage,arm,config_id,config,pop_size,ls_time_limit_s,deadline_mode,solver_seed,budget_s,pilot_idx,pop_idx,instance,instance_sha256,batch,cell_id,gen_seed,m,oracle_cost,rc2_solve_s,rc2_tier,analysis_group
1,m2p_p40ls0p5_i01_s1,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,1,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
2,m2p_p40ls2p5_i01_s1,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,1,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
3,m2p_p10ls2p5_i01_s1,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
4,m2p_p40ls0p5_i01_s2,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,2,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
5,m2p_p40ls2p5_i01_s2,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,2,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
6,m2p_p10ls2p5_i01_s2,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
7,m2p_p40ls0p5_i01_s3,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,3,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
8,m2p_p40ls2p5_i01_s3,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,3,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
9,m2p_p10ls2p5_i01_s3,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,1,2,data/generated/calib_a/wksat_v100_k2_sr6.00_hr0.00_w1_uniform_s1.wcnf,0a3b3189ef31359aa5511242ce45b618affcd83ae9a830936abff29afd6f2da3,calib_a,max2sat_n100_a6,1,600,50,752.749,T3,upper_ext
10,m2p_p40ls0p5_i02_s1,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,1,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
11,m2p_p40ls2p5_i02_s1,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,1,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
12,m2p_p10ls2p5_i02_s1,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
13,m2p_p40ls0p5_i02_s2,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,2,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
14,m2p_p40ls2p5_i02_s2,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,2,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
15,m2p_p10ls2p5_i02_s2,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
16,m2p_p40ls0p5_i02_s3,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,3,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
17,m2p_p40ls2p5_i02_s3,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,3,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
18,m2p_p10ls2p5_i02_s3,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,2,35,data/generated/calib_b/wksat_v250_k2_sr2.35_hr0.00_w1_uniform_s3.wcnf,61467d5b28e5a06669ba008ec8536be0af97d786fe3fabf9632f4f90a3d978d8,calib_b,max2sat_n250_a2.35,3,588,22,610.255,T3,upper_ext
19,m2p_p40ls0p5_i03_s1,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,1,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
20,m2p_p40ls2p5_i03_s1,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,1,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
21,m2p_p10ls2p5_i03_s1,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,1,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
22,m2p_p40ls0p5_i03_s2,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,2,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
23,m2p_p40ls2p5_i03_s2,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,2,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
24,m2p_p10ls2p5_i03_s2,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,2,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
25,m2p_p40ls0p5_i03_s3,pilot,p40_ls0p5,memetic_deeppolish,configs/tier2/memetic_deeppolish.yaml,40,0.5,,3,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
26,m2p_p40ls2p5_i03_s3,pilot,p40_ls2p5,memetic_deeppolish_p40_ls2p5,configs/tier2/memetic_deeppolish_p40_ls2p5.yaml,40,2.5,clip,3,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
27,m2p_p10ls2p5_i03_s3,pilot,p10_ls2p5,memetic_deeppolish_p10_ls2p5,configs/tier2/memetic_deeppolish_p10_ls2p5.yaml,10,2.5,clip,3,900,3,60,data/generated/calib_b/wksat_v50_k3_sr9.00_hr0.00_w1_uniform_s5.wcnf,a8133e0c929861b71f08385c9e721d97546b8b150d3493accda20d29a7b1207f,calib_b,max3sat_n50_a9,5,450,13,847.272,T3,upper_ext
