family,file,sha256,fmt,n_vars,n_clauses,n_vars_used,ratio,len_min,len_max,len_mean,len_hist,all_w1,size_kb,staged
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-1.cnf,b8c87f09c321ac82207aa8c61aac3037b150fe459ec6d09a938881c570aa80dd,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.9,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.7/maxcut-140-630-0.7-1.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-20.cnf,45f9fb1d896de0d34db3d397846389d4853b8998bcfa7efb8397f7da73d75b05,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.9,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.7/maxcut-140-630-0.7-20.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-31.cnf,1c54bf9b6a4347d1952e14258d6f85175b28a8115893643e2a89f12759c52f03,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.7/maxcut-140-630-0.7-31.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-43.cnf,33e844676df59b19ec50e55283ef7d1e311b180a100b336cdd695c371cc7b55b,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.7/maxcut-140-630-0.7-43.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.7,maxcut-140-630-0.7-9.cnf,6df20988ea67a3ff508114732a20e59835aa524504819e88526df00af7671d37,cnf,140,1260,140,9.0,2,2,2.0,2:1260,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.7/maxcut-140-630-0.7-9.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.8,maxcut-140-630-0.8-1.cnf,13b0489ce8f1a557c6e5d5de9887b972527b0ee211fb634cf1f27762d473d699,cnf,140,1258,140,8.986,2,2,2.0,2:1258,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.8/maxcut-140-630-0.8-1.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.8,maxcut-140-630-0.8-20.cnf,5b784fee215ce547cc3828ecdb8c66d0441d49775124137d8382897fa555e847,cnf,140,1258,140,8.986,2,2,2.0,2:1258,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.8/maxcut-140-630-0.8-20.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.8,maxcut-140-630-0.8-31.cnf,3232ef9a2691f669e39ce9f32c6c0955ee5c7c442d1c294c5212b46f7a85d68f,cnf,140,1258,140,8.986,2,2,2.0,2:1258,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.8/maxcut-140-630-0.8-31.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.8,maxcut-140-630-0.8-43.cnf,d7df6b50cef4b9a1f7934328999ab8d216c6d55fdd5de068962628f80037baee,cnf,140,1258,140,8.986,2,2,2.0,2:1258,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.8/maxcut-140-630-0.8-43.cnf
ms_crafted/ms_crafted/bipartite/maxcut-140-630-0.8,maxcut-140-630-0.8-9.cnf,26891ec536674d9d3ae9416891c0fe3a1289bbf067adb32b9cf21db63a85bd84,cnf,140,1258,140,8.986,2,2,2.0,2:1258,True,11.8,data/mse16/ms_crafted/bipartite/maxcut-140-630-0.8/maxcut-140-630-0.8-9.cnf
