instance,resolved,sha256,format,tier,oracle_cost,rc2_solve_s,rc2_cap_s,rc2_run,rc2_runs_all,size_mb
data/unsat250_1000c/uuf250-0100.cnf,data/unsat250_1000c/uuf250-0100.cnf,a0d4a608105c7419c1862cfed087f7767cb3f52d03bf16ac864deecec826a078,cnf,T2a,1,219.129,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-066.cnf,data/unsat250_1000c/uuf250-066.cnf,0d27afc598084106b0fb25452062e7977c5a440217d6ef97c419375228b51a53,cnf,T2a,1,106.544,900.0,uuf250_1000c,uuf250_1000c,0.0152
data/unsat250_1000c/uuf250-070.cnf,data/unsat250_1000c/uuf250-070.cnf,98d1b517742b12026eaffad191a5fa158fc65b0ea8026ad85191bf18e8dffc87,cnf,T2a,1,145.584,900.0,uuf250_1000c,uuf250_1000c,0.0152
data/unsat250_1000c/uuf250-071.cnf,data/unsat250_1000c/uuf250-071.cnf,a8e1a2b5de3efb350c976f08b3bb5abf83e9fb6dcee0396ae69ed97095b59371,cnf,T2a,1,106.725,900.0,uuf250_1000c,uuf250_1000c,0.0152
data/unsat250_1000c/uuf250-072.cnf,data/unsat250_1000c/uuf250-072.cnf,75032638cf1ee023cdb5d269c5aa0ae73840f9ab5c2b979f02d705066f1dea77,cnf,T2a,1,63.1,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-075.cnf,data/unsat250_1000c/uuf250-075.cnf,bf064b5e87304724749bb221ce3a2f40f8d14234f39c9ae53eb50dd53f72f043,cnf,T2a,1,269.613,900.0,uuf250_1000c,uuf250_1000c,0.0152
data/unsat250_1000c/uuf250-079.cnf,data/unsat250_1000c/uuf250-079.cnf,3341dc8594d9b89d84344bbbb301f705d769cd8663a141b1843661c40c816442,cnf,T2a,1,81.058,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-080.cnf,data/unsat250_1000c/uuf250-080.cnf,dc52792b0b0c7a6c86dc182f6a2683a8644c8204b4d1cfaf583ef6d9baf2619d,cnf,T2a,1,212.418,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-081.cnf,data/unsat250_1000c/uuf250-081.cnf,048beacb1c7909bb1b4499490238a91246e591dbb5f87e10105ec878b483e7fe,cnf,T2a,1,110.62,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-087.cnf,data/unsat250_1000c/uuf250-087.cnf,777fa955859e09183cf6ca629998a61f337b278001c2e032c3fda3f6feeecb42,cnf,T2b,1,436.684,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-089.cnf,data/unsat250_1000c/uuf250-089.cnf,bc9f60b116ebf952b540b74e86700df2884ca94bb2c92fbea86affacf26d0be9,cnf,T2a,1,70.743,900.0,uuf250_1000c,uuf250_1000c,0.0152
data/unsat250_1000c/uuf250-090.cnf,data/unsat250_1000c/uuf250-090.cnf,39294ff8fe5af2dd2c650aac69b467e7c6d0554258ef80ecdad81bf2a15bebc0,cnf,T2a,1,151.173,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-093.cnf,data/unsat250_1000c/uuf250-093.cnf,351e6dedf55a9d04d71c6906de94c2a90bf8b68bec82124db328726c159cd5ed,cnf,T2a,1,127.973,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-094.cnf,data/unsat250_1000c/uuf250-094.cnf,62f13ed69fd3ac1bf0c7fe6d3e18171a8031fb079f65aa92cf1ac94cd61e4dcc,cnf,T2a,1,129.716,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-096.cnf,data/unsat250_1000c/uuf250-096.cnf,6432c056f418c32e6862b8cbf1ae76aa4711af3a6ddb6fd91c3e5c65d9164f9d,cnf,T2a,1,149.447,900.0,uuf250_1000c,uuf250_1000c,0.0152
data/unsat250_1000c/uuf250-097.cnf,data/unsat250_1000c/uuf250-097.cnf,26472d1cdfc2ec65e52b7fe59be94ed3849e7e2c27beb4ec406a5d2faa49c6ed,cnf,T2b,1,495.832,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-098.cnf,data/unsat250_1000c/uuf250-098.cnf,0e3bddf3dcb41eeb64cd65a378807a511888d199faee222c2a8c64abcdcb4f92,cnf,T2b,1,311.374,900.0,uuf250_1000c,uuf250_1000c,0.0153
data/unsat250_1000c/uuf250-099.cnf,data/unsat250_1000c/uuf250-099.cnf,d526dae82788dc92f073f2d7eec8dd59130d77851022f44c656c3bc5e940c9a4,cnf,T2a,1,128.158,900.0,uuf250_1000c,uuf250_1000c,0.0152
data/unsat_uuf_diff/uuf200-01.cnf,data/unsat_uuf_diff/uuf200-01.cnf,09b7d9c77afe26dd9cc7b88ac5d30e90f38b13d3d2aff59cc813862bf6ecb3a4,cnf,T2b,2,307.403,600.0,uuf_diff_unsat,uuf_diff_unsat,0.012
data/unsat_uuf_diff/uuf200-02.cnf,data/unsat_uuf_diff/uuf200-02.cnf,9afc5d58673193fcf63c6d14882de00520b0674021fd070acfd8cdb82df4f5a5,cnf,T2a,2,128.5,600.0,uuf_diff_unsat,uuf_diff_unsat,0.012
data/unsat_uuf_diff/uuf250-010.cnf,data/unsat_uuf_diff/uuf250-010.cnf,2fc634c67eeffd8c257a98e6a53fbc1dc3c77285bcb824f1c5b370cf66b250b1,cnf,T2a,1,121.311,600.0,uuf_diff_unsat,uuf_diff_unsat,0.0152
data/unsat_uuf_diff/uuf250-03.cnf,data/unsat_uuf_diff/uuf250-03.cnf,d0d071d08eb19f59f8628271b315e74b33d44fd09ce7db38997d15cbff1a4943,cnf,T2a,1,67.723,600.0,uuf_diff_unsat,uuf_diff_unsat,0.0153
data/unsat_uuf_diff/uuf250-05.cnf,data/unsat_uuf_diff/uuf250-05.cnf,23280ae575ff9dc99c6476838ef631297ae2aa124836ecfe216934ce18caf46d,cnf,T2a,1,75.776,600.0,uuf_diff_unsat,uuf_diff_unsat,0.0153
data/unsat_uuf_diff/uuf250-06.cnf,data/unsat_uuf_diff/uuf250-06.cnf,41d959bda26dbe2c924bccb2980722d0899b90efb22edcf20cac17f0ae3d06bb,cnf,T2a,1,185.431,600.0,uuf_diff_unsat,uuf_diff_unsat,0.0153
data/unsat_uuf_diff/uuf250-07.cnf,data/unsat_uuf_diff/uuf250-07.cnf,b4a0bbcee59b06ae831feec6794d9f70ed3b332eabfdd6dd8b4260a1aabe4653,cnf,T2a,1,154.694,600.0,uuf_diff_unsat,uuf_diff_unsat,0.0153
data/unsat_uuf_diff/uuf250-09.cnf,data/unsat_uuf_diff/uuf250-09.cnf,effa445fdefe1b667216e33b9702ac569d87d522f47c51b33c81462e2503218a,cnf,T2b,1,383.872,600.0,uuf_diff_unsat,uuf_diff_unsat,0.0152
