instance,best_cost,source,source_csv
MaxSATQueriesinInterpretableClassifiers-wdbc_train_9_CNF_5_1.wcnf,21,mse2023,best_costs.csv
bcp-SU3__simp-genos.haps.9.wcnf,106,mse2023,best_costs.csv
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,31,mse2023,best_costs.csv
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_1_10_1.wcnf,10,mse2023,best_costs.csv
gen-hyper-tw-GenHyperTW_b01.wcnf,5,mse2023,best_costs.csv
gen-hyper-tw-GenHyperTW_grid4d_3.wcnf,7,mse2023,best_costs.csv
gen-hyper-tw-GenHyperTW_uf20-01.wcnf,6,mse2023,best_costs.csv
inconsistency-measurement-im-contension-B-3-stb_696_368.tgf.pl.wcnf,63,mse2023,best_costs.csv
inconsistency-measurement-im-forgetting-A-2-WS_300_16_70_30.tgf.pl.wcnf,37,mse2023,best_costs.csv
inconsistency-measurement-im-forgetting-A-2-WS_300_16_90_30.tgf.pl.wcnf,34,mse2023,best_costs.csv
inconsistency-measurement-im-forgetting-B-2-stb_625_161.tgf.pl.wcnf,79,mse2023,best_costs.csv
inconsistency-measurement-im-forgetting-B-3-WS_300_16_90_30.tgf.pl.wcnf,42,mse2023,best_costs.csv
inconsistency-measurement-im-forgetting-B-3-stb_428_430.tgf.pl.wcnf,51,mse2023,best_costs.csv
inconsistency-measurement-im-forgetting-B-3-stb_457_193.tgf.pl.wcnf,57,mse2023,best_costs.csv
inconsistency-measurement-im-forgetting-T-2-stb_339_81.tgf.pl.wcnf,48,mse2023,best_costs.csv
inconsistency-measurement-im-hit-A-1-grd_1790_4_8.tgf.pl.wcnf,311,mse2023,best_costs.csv
inconsistency-measurement-im-hit-A-1-grd_2065_1_8.tgf.pl.wcnf,304,mse2023,best_costs.csv
inconsistency-measurement-im-hit-A-2-grd_1948_5_1.tgf.pl.wcnf,344,mse2023,best_costs.csv
inconsistency-measurement-im-hit-B-1-grd_3018_3_7.tgf.pl.wcnf,571,mse2023,best_costs.csv
inconsistency-measurement-im-hit-B-3-stb_390_450.tgf.pl.wcnf,45,mse2023,best_costs.csv
inconsistency-measurement-im-hit-C-1-grd_3018_3_7.tgf.pl.wcnf,533,mse2023,best_costs.csv
inconsistency-measurement-im-sum-B-2-stb_330_291.tgf.pl.wcnf,36,mse2023,best_costs.csv
inconsistency-measurement-im-sum-B-3-stb_327_100.tgf.pl.wcnf,39,mse2023,best_costs.csv
inconsistency-measurement-im-sum-B-3-stb_339_393.tgf.pl.wcnf,56,mse2023,best_costs.csv
inconsistency-measurement-im-sum-B-3-stb_696_368.tgf.pl.wcnf,84,mse2023,best_costs.csv
inconsistency-measurement-im-sum-C-1-grd_1222_5_4.tgf.pl.wcnf,218,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000071.wcnf,45,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000157.wcnf,51,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000253.wcnf,46,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000260.wcnf,50,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000293.wcnf,43,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000295.wcnf,53,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000316.wcnf,51,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000333.wcnf,51,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000338.wcnf,52,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000385.wcnf,37,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000390.wcnf,52,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000444.wcnf,52,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000486.wcnf,54,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000492.wcnf,47,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000512.wcnf,54,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000517.wcnf,55,mse2023,best_costs.csv
judgment-aggregation-ja-maxham-preflib-00049-00000540.wcnf,49,mse2023,best_costs.csv
judgment-aggregation-ja-slater-preflib-00049-00000135.wcnf,246,mse2023,best_costs.csv
judgment-aggregation-ja-slater-preflib-00049-00000405.wcnf,278,mse2023,best_costs.csv
judgment-aggregation-ja-slater-preflib-00049-00000468.wcnf,269,mse2023,best_costs.csv
logic-synthesis-normalized-test4.pi.opb.msat.wcnf,94,mse2023,best_costs.csv
mbd-b14_C-mbd14-0277.wcnf,24,mse2023,best_costs.csv
min-fill-MinFill_R0_myciel5.wcnf,196,mse2023,best_costs.csv
optic-gen_cvc-add7to3_9999.wcnf,191,mse2023,best_costs.csv
optic-gen_mult_4_5_991.wcnf,117,mse2023,best_costs.csv
optic-gen_mult_5_5_991.wcnf,230,mse2023,best_costs.csv
optimizing-BDDs-australian-credit-un-wcnf_incomplete_improved_1_2019_2.wcnf,87,mse2023,best_costs.csv
optimizing-BDDs-lymph-un-wcnf_incomplete_improved_1_2019_7.wcnf,4,mse2023,best_costs.csv
optimizing-BDDs-soybean-un-wcnf_incomplete_improved_1_2019_6.wcnf,23,mse2023,best_costs.csv
optimizing-BDDs-tic-tac-toe-un-wcnf_incomplete_improved_1_2019_6.wcnf,165,mse2023,best_costs.csv
optimizing-BDDs-vote-un-wcnf_incomplete_improved_1_2019_7.wcnf,4,mse2023,best_costs.csv
pseudoBoolean-normalized-par32-3.opb.msat.wcnf,-1,mse2023,absent_from_best_costs.csv
pseudoBoolean-normalized-par32-5.opb.msat.wcnf,-1,mse2023,absent_from_best_costs.csv
ramsey-ram_k3_n11.ra0.wcnf,7,mse2023,best_costs.csv
ramsey-ram_k3_n14.ra0.wcnf,21,mse2023,best_costs.csv
ramsey-ram_k3_n15.ra0.wcnf,30,mse2023,best_costs.csv
ramsey-ram_k3_n17.ra0.wcnf,50,mse2023,best_costs.csv
ramsey-ram_k4_n18.ra0.wcnf,9,mse2023,best_costs.csv
ramsey-ram_k4_n20.ra0.wcnf,24,mse2023,best_costs.csv
reversi-rev66-16.wcnf,17,mse2023,best_costs.csv
reversi-rev66-26.wcnf,7,mse2023,best_costs.csv
reversi-rev66-28.wcnf,5,mse2023,best_costs.csv
reversi-rev66-32.wcnf,1,mse2023,best_costs.csv
scheduling-cnf_small.wcnf,28,mse2023,best_costs.csv
setcover-sts-data.135.wcnf,103,mse2023,best_costs.csv
setcover-sts-data.243.wcnf,198,mse2023,best_costs.csv
setcover-sts-data.405.wcnf,336,mse2023,best_costs.csv
setcover-sts-data.729.wcnf,617,mse2023,best_costs.csv
xai-mindset2-postoperative-patient-data.wcnf,62,mse2023,best_costs.csv
