instance,best_cost,weighted,unweighted,anytime,source,source_csv
BTBNSL_wt-Rounded_BTWBNSL_Flag.BIC_TWBound_3.wcnf,274985739,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_Flag.BIC_TWBound_4.wcnf,274907339,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_Hepatitis.BIC_TWBound4.wcnf,132258419,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_Horse.BIC_TWBound_2.wcnf,452466275,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_Water_1000_1_2.scores_TWBound_3.wcnf,1326306453,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_Wine_TWBound_3.wcnf,127107900,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_alarm_100_1_3.scores_TWBound_3.wcnf,136550600,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_3.wcnf,1388734978,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_insurance_1000_1_3.scores_TWBound_4.wcnf,1388734978,True,False,True,mse2024,best_costs__1_.csv
BTBNSL_wt-Rounded_BTWBNSL_insurance_100_1_3.scores_TWBound_3.wcnf,170450495,True,False,True,mse2024,best_costs__1_.csv
MaxSATQueriesinInterpretableClassifiers_wt-compas_train_2_CNF_3_15.wcnf,31514,True,False,True,mse2024,best_costs__1_.csv
MaxSATQueriesinInterpretableClassifiers_wt-heart_train_1_CNF_3_5.wcnf,171,True,False,True,mse2024,best_costs__1_.csv
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.1_9.wcnf,107667,True,False,True,mse2024,best_costs__1_.csv
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.4_2.wcnf,193813,True,False,True,mse2024,best_costs__1_.csv
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.5_2.wcnf,224309,True,False,True,mse2024,best_costs__1_.csv
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_0.wcnf,313158,True,False,True,mse2024,best_costs__1_.csv
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_2.wcnf,296197,True,False,True,mse2024,best_costs__1_.csv
ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_6.wcnf,267394,True,False,True,mse2024,best_costs__1_.csv
af-synthesis_wt-af-synthesis_stb_50_20_4.wcnf,117,True,False,True,mse2024,best_costs__1_.csv
af-synthesis_wt-af-synthesis_stb_50_20_8.wcnf,120,True,False,True,mse2024,best_costs__1_.csv
af-synthesis_wt-af-synthesis_stb_50_40_0.wcnf,111,True,False,True,mse2024,best_costs__1_.csv
af-synthesis_wt-af-synthesis_stb_50_40_6.wcnf,115,True,False,True,mse2024,best_costs__1_.csv
af-synthesis_wt-af-synthesis_stb_50_40_8.wcnf,117,True,False,True,mse2024,best_costs__1_.csv
causal-discovery_wt-causal_Bands_6_277.wcnf,91349,True,False,True,mse2024,best_costs__1_.csv
causal-discovery_wt-causal_hailfinder_7_100.wcnf,2036684,True,False,True,mse2024,best_costs__1_.csv
causal-discovery_wt-causal_n7_i4_N500_uai14_log_int.wcnf,37532020924,True,False,True,mse2024,best_costs__1_.csv
correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_BINARY_N320.wcnf,19711940,True,False,True,mse2024,best_costs__1_.csv
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N360.wcnf,15658391,True,False,True,mse2024,best_costs__1_.csv
correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_BINARY_N400.wcnf,18303251,True,False,True,mse2024,best_costs__1_.csv
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_5.wcnf,122,True,False,True,mse2024,best_costs__1_.csv
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_6.wcnf,174,True,False,True,mse2024,best_costs__1_.csv
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,67,True,False,True,mse2024,best_costs__1_.csv
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3.wcnf,108,True,False,True,mse2024,best_costs__1_.csv
drmx-cryptogen_wt-threshold128_0.wcnf,800,True,False,True,mse2024,best_costs__1_.csv
drmx-cryptogen_wt-threshold128_1.wcnf,800,True,False,True,mse2024,best_costs__1_.csv
drmx-cryptogen_wt-threshold128_2.wcnf,800,True,False,True,mse2024,best_costs__1_.csv
drmx-cryptogen_wt-threshold128_6.wcnf,800,True,False,True,mse2024,best_costs__1_.csv
