instance,family,bench_dir,size_mb,tier,profile.completed,profile.status,profile.solve_s,profile.cap_s,over_cap,profile.final_cost,profile.cost_lower_bound,ratio,lb_ratio,profile.solver,profile.error,tier_reason,_source_file,stem
data/raw/mse_2024/mse23-uw-small/MaxSATQueriesinInterpretableClassifiers-wdbc_train_9_CNF_5_1.wcnf,MaxSATQueriesinInterpretableClassifiers,mse23-uw-small,0.7642,T3,False,subprocess_killed,1920.109,1800.0,True,,16.0,,0.7619,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_1.jsonl,MaxSATQueriesinInterpretableClassifiers-wdbc_train_9_CNF_5_1
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-forgetting-A-2-WS_300_16_90_30.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.2111,T3,False,subprocess_killed,1920.112,1800.0,True,,33.0,,0.9706,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_10.jsonl,inconsistency-measurement-im-forgetting-A-2-WS_300_16_90_30.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-forgetting-B-2-stb_625_161.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.2897,T3,False,subprocess_killed,1920.05,1800.0,True,,64.0,,0.8101,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_11.jsonl,inconsistency-measurement-im-forgetting-B-2-stb_625_161.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-forgetting-B-3-WS_300_16_90_30.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.2117,T3,False,subprocess_killed,1920.11,1800.0,True,,40.0,,0.9524,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_12.jsonl,inconsistency-measurement-im-forgetting-B-3-WS_300_16_90_30.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-forgetting-B-3-stb_428_430.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.3222,T3,False,subprocess_killed,1920.064,1800.0,True,,45.0,,0.8824,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_13.jsonl,inconsistency-measurement-im-forgetting-B-3-stb_428_430.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-forgetting-B-3-stb_457_193.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.4304,T3,False,subprocess_killed,1920.109,1800.0,True,,53.0,,0.9298,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_14.jsonl,inconsistency-measurement-im-forgetting-B-3-stb_457_193.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-forgetting-T-2-stb_339_81.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.3071,T3,False,subprocess_killed,1920.108,1800.0,True,,46.0,,0.9583,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_15.jsonl,inconsistency-measurement-im-forgetting-T-2-stb_339_81.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-hit-A-1-grd_1790_4_8.tgf.pl.wcnf,inconsistency,mse23-uw-small,1.4229,T3,False,subprocess_killed,1920.109,1800.0,True,,228.0,,0.7331,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_16.jsonl,inconsistency-measurement-im-hit-A-1-grd_1790_4_8.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-hit-A-1-grd_2065_1_8.tgf.pl.wcnf,inconsistency,mse23-uw-small,0.6104,T3,False,subprocess_killed,1920.108,1800.0,True,,250.0,,0.8224,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_17.jsonl,inconsistency-measurement-im-hit-A-1-grd_2065_1_8.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-hit-A-2-grd_1948_5_1.tgf.pl.wcnf,inconsistency,mse23-uw-small,2.0421,T3,False,subprocess_killed,1920.109,1800.0,True,,260.0,,0.7558,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_18.jsonl,inconsistency-measurement-im-hit-A-2-grd_1948_5_1.tgf.pl
data/raw/mse_2024/mse23-uw-small/inconsistency-measurement-im-hit-B-1-grd_3018_3_7.tgf.pl.wcnf,inconsistency,mse23-uw-small,3.0928,T3,False,subprocess_killed,1920.105,1800.0,True,,393.0,,0.6883,rc2,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,subprocess_killed_at_cap+120.0s; recovered_lb_from_progress_file,mse23_full_arr_task_19.jsonl,inconsistency-measurement-im-hit-B-1-grd_3018_3_7.tgf.pl
