instance,family,bench_dir,size_mb,tier,profile.completed,profile.status,profile.solve_s,profile.cap_s,over_cap,profile.final_cost,profile.cost_lower_bound,ratio,lb_ratio,profile.solver,profile.error,tier_reason,_source_file,stem
data/unsat_uuf_diff/uuf100-01.cnf,uuf100,unsat_uuf_diff,0.0054,T1,True,optimal,0.073,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_1.jsonl,uuf100-01
data/unsat_uuf_diff/uuf100-09.cnf,uuf100,unsat_uuf_diff,0.0054,T1,True,optimal,0.209,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_10.jsonl,uuf100-09
data/unsat_uuf_diff/uuf150-01.cnf,uuf150,unsat_uuf_diff,0.0087,T1,True,optimal,0.334,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_11.jsonl,uuf150-01
data/unsat_uuf_diff/uuf150-010.cnf,uuf150,unsat_uuf_diff,0.0087,T1,True,optimal,0.69,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_12.jsonl,uuf150-010
data/unsat_uuf_diff/uuf150-02.cnf,uuf150,unsat_uuf_diff,0.0088,T1,True,optimal,6.401,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_13.jsonl,uuf150-02
data/unsat_uuf_diff/uuf150-03.cnf,uuf150,unsat_uuf_diff,0.0087,T1,True,optimal,3.132,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_14.jsonl,uuf150-03
data/unsat_uuf_diff/uuf150-04.cnf,uuf150,unsat_uuf_diff,0.0087,T1,True,optimal,21.614,600.0,False,2.0,2,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_15.jsonl,uuf150-04
data/unsat_uuf_diff/uuf150-05.cnf,uuf150,unsat_uuf_diff,0.0087,T1,True,optimal,0.695,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_16.jsonl,uuf150-05
data/unsat_uuf_diff/uuf150-06.cnf,uuf150,unsat_uuf_diff,0.0088,T1,True,optimal,1.611,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_17.jsonl,uuf150-06
data/unsat_uuf_diff/uuf150-07.cnf,uuf150,unsat_uuf_diff,0.0087,T1,True,optimal,1.431,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_18.jsonl,uuf150-07
data/unsat_uuf_diff/uuf150-08.cnf,uuf150,unsat_uuf_diff,0.0088,T1,True,optimal,3.933,600.0,False,2.0,2,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_19.jsonl,uuf150-08
data/unsat_uuf_diff/uuf100-010.cnf,uuf100,unsat_uuf_diff,0.0054,T1,True,optimal,0.849,600.0,False,2.0,2,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_2.jsonl,uuf100-010
data/unsat_uuf_diff/uuf150-09.cnf,uuf150,unsat_uuf_diff,0.0087,T1,True,optimal,4.67,600.0,False,2.0,2,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_20.jsonl,uuf150-09
data/unsat_uuf_diff/uuf200-01.cnf,uuf200,unsat_uuf_diff,0.012,T2b,True,optimal,307.403,600.0,False,2.0,2,,,rc2,,300.0<solve_s<=600.0,uuf_diff_arr_task_21.jsonl,uuf200-01
data/unsat_uuf_diff/uuf200-010.cnf,uuf200,unsat_uuf_diff,0.012,T1,True,optimal,18.441,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_22.jsonl,uuf200-010
data/unsat_uuf_diff/uuf200-02.cnf,uuf200,unsat_uuf_diff,0.012,T2a,True,optimal,128.5,600.0,False,2.0,2,,,rc2,,60.0<solve_s<=300.0,uuf_diff_arr_task_23.jsonl,uuf200-02
data/unsat_uuf_diff/uuf200-03.cnf,uuf200,unsat_uuf_diff,0.0121,T1,True,optimal,1.865,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_24.jsonl,uuf200-03
data/unsat_uuf_diff/uuf200-04.cnf,uuf200,unsat_uuf_diff,0.012,T1,True,optimal,43.37,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_25.jsonl,uuf200-04
data/unsat_uuf_diff/uuf200-05.cnf,uuf200,unsat_uuf_diff,0.0121,T1,True,optimal,14.139,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_26.jsonl,uuf200-05
data/unsat_uuf_diff/uuf200-06.cnf,uuf200,unsat_uuf_diff,0.0121,T1,True,optimal,31.506,600.0,False,1.0,1,,,rc2,,solve_s<=60.0,uuf_diff_arr_task_27.jsonl,uuf200-06
